modality	cluster	model	file	rows	md5_decompressed
multiome	jurkat		Predictions/EnhancerPredictionsAllPutative.tsv.gz	11036284	cb83ed8edee7ec965a5603fc21efea36
multiome	jurkat		Neighborhoods/EnhancerList.txt	158398	24f4349f87653f826cc9b53f83ef2ef7
multiome	jurkat		Neighborhoods/GeneList.txt	20532	e77af57fb36c97d863c2186d26f69e9c
multiome	jurkat		Kendall/Pairs.Kendall.tsv.gz	10788203	d989dd552beda6a713879671c811fb84
multiome	jurkat		ARC/EnhancerPredictionsAllPutative_ARC.tsv.gz	11036284	a4a141a1ffb8856bc38fa3cc932ca6a4
multiome	jurkat		genomewide_features.tsv.gz	11036284	253b334c90481b2e0dbcdecfa6f7285d
multiome	jurkat	multiome_powerlaw_v3	scE2G_element_list.tsv.gz	158398	1ea956381c250e028912e75e84de2540
multiome	jurkat	multiome_powerlaw_v3	scE2G_gene_list.tsv.gz	20532	d038a66a813c4cc515d2d8352050eb6c
multiome	jurkat	multiome_powerlaw_v3	scE2G_predictions.tsv.gz	11036284	49ff9a8376793a3501d59269f98d6637
multiome	jurkat	multiome_powerlaw_v3	scE2G_predictions_threshold0.177.tsv.gz	59699	86ac986070a99057294d6a50ac401a2d
multiome	jurkat	multiome_powerlaw_v3	scE2G_predictions_threshold0.177_stats.tsv	2	9ff5c2dec616d09aff2ccb6bdd490554
multiome	jurkat_pma_cd3_4hr		Predictions/EnhancerPredictionsAllPutative.tsv.gz	10854699	51e43aeb41312da19ad9fa3173e8d840
multiome	jurkat_pma_cd3_4hr		Neighborhoods/EnhancerList.txt	157396	c9cd32bec0e73ef5b9957f14d84bb38d
multiome	jurkat_pma_cd3_4hr		Neighborhoods/GeneList.txt	20532	0de721b1227e1c30e7f22d8201b0585f
multiome	jurkat_pma_cd3_4hr		Kendall/Pairs.Kendall.tsv.gz	10759397	67c715d91efc067579b6e612950c28b8
multiome	jurkat_pma_cd3_4hr		ARC/EnhancerPredictionsAllPutative_ARC.tsv.gz	10854699	7edad590e9385bf9223d78d07c5ed130
multiome	jurkat_pma_cd3_4hr		genomewide_features.tsv.gz	10854699	a7a6eec2a05b13fe6e581397d389e343
multiome	jurkat_pma_cd3_4hr	multiome_powerlaw_v3	scE2G_element_list.tsv.gz	157396	7a385a049969af61cd24e8985f5fa288
multiome	jurkat_pma_cd3_4hr	multiome_powerlaw_v3	scE2G_gene_list.tsv.gz	20532	f85ad547e4a72e02c423372dd22d4f2a
multiome	jurkat_pma_cd3_4hr	multiome_powerlaw_v3	scE2G_predictions.tsv.gz	10854699	903d236a5d0a7f7331dcc001b6c5393b
multiome	jurkat_pma_cd3_4hr	multiome_powerlaw_v3	scE2G_predictions_threshold0.177.tsv.gz	59651	b109726d23a11e70a3f26963c0ec6022
multiome	jurkat_pma_cd3_4hr	multiome_powerlaw_v3	scE2G_predictions_threshold0.177_stats.tsv	2	28e30dcd3413abc9a8c444ecc1bcced1
multiome	k562_crispri		Predictions/EnhancerPredictionsAllPutative.tsv.gz	11447565	030f79acedf60ec48f428d51a67818b7
multiome	k562_crispri		Neighborhoods/EnhancerList.txt	156421	9023c1594b65b0f13d8e6109b1119ede
multiome	k562_crispri		Neighborhoods/GeneList.txt	20532	29bc4a8874c851101ff5f3fa124dc34a
multiome	k562_crispri		Kendall/Pairs.Kendall.tsv.gz	11317835	dc95776cb8b264f3663d45495572bbca
